"Year","Month","Day","Extent","Missing","hemisphere"
2009,6,13,11.624,0,"north"
2009,6,14,11.554,0,"north"
2009,6,15,11.497,0,"north"
2009,6,16,11.385,0,"north"
2009,6,17,11.293,0,"north"
2009,6,18,11.285,0,"north"
2009,6,19,11.188,0,"north"
2009,6,20,11.169,0,"north"
2009,6,21,11.096,0,"north"
2009,6,22,11.064,0,"north"
2009,6,23,10.882,0,"north"
2009,6,24,10.769,0,"north"
2009,6,25,10.717,0,"north"
2009,6,26,10.633,0,"north"
2009,6,27,10.626,0,"north"
2009,6,28,10.437,0,"north"
2009,6,29,10.334,0,"north"
2009,6,30,10.393,0,"north"
2009,7,1,10.054,0,"north"
2009,7,2,9.929,0,"north"
2009,7,3,9.858,0,"north"
2009,7,4,9.695,0,"north"
2009,7,5,9.643,0,"north"
2009,7,6,9.504,0,"north"
2009,7,7,9.386,0,"north"
2009,7,8,9.292,0,"north"
2009,7,9,9.18,0,"north"
2009,7,10,9.03,0,"north"
2009,7,11,9.001,0,"north"
2009,7,12,8.989,0,"north"
2009,7,13,8.801,0,"north"
2009,7,14,8.701,0,"north"
2009,7,15,8.573,0,"north"
2009,7,16,8.512,0,"north"
2009,7,17,8.416,0,"north"
2009,7,18,8.374,0,"north"
2009,7,19,8.235,0,"north"
2009,7,20,8.123,0,"north"
2009,7,21,7.952,0,"north"
2009,7,22,7.76,0,"north"
2009,7,23,7.694,0,"north"
2009,7,24,7.548,0,"north"
2009,7,25,7.422,0,"north"
2009,7,26,7.337,0,"north"
2009,7,27,7.227,0,"north"
2009,7,28,7.107,0,"north"
2009,7,29,7.067,0,"north"
2009,7,30,7.001,0,"north"
2009,7,31,7.018,0,"north"
2009,8,1,6.994,0,"north"
2009,8,2,6.936,0,"north"
2009,8,3,6.905,0,"north"
2009,8,4,6.839,0,"north"
2009,8,5,6.805,0,"north"
2009,8,6,6.776,0,"north"
2009,8,7,6.719,0,"north"
2009,8,8,6.703,0,"north"
2009,8,9,6.574,0,"north"
2009,8,10,6.51,0,"north"
2009,8,11,6.493,0,"north"
2009,8,12,6.442,0,"north"
2009,8,13,6.377,0,"north"
2009,8,14,6.234,0,"north"
2009,8,15,6.192,0,"north"
2009,8,16,6.143,0,"north"
2009,8,17,6.077,0,"north"
2009,8,18,6.002,0,"north"
2009,8,19,5.869,0,"north"
2009,8,20,5.815,0,"north"
2009,8,21,5.783,0,"north"
2009,8,22,5.714,0,"north"
2009,8,23,5.622,0,"north"
2009,8,24,5.568,0,"north"
2009,8,25,5.584,0,"north"
2009,8,26,5.518,0,"north"
2009,8,27,5.46,0,"north"
2009,8,28,5.47,0,"north"
2009,8,29,5.419,0,"north"
2009,8,30,5.318,0,"north"
2009,8,31,5.347,0,"north"
2009,9,1,5.355,0,"north"
2009,9,2,5.257,0,"north"
2009,9,3,5.26,0,"north"
2009,9,4,5.193,0,"north"
2009,9,5,5.269,0,"north"
2009,9,6,5.175,0,"north"
2009,9,7,5.214,0,"north"
2009,9,8,5.132,0,"north"
2009,9,9,5.165,0,"north"
2009,9,10,5.17,0,"north"
2009,9,11,5.113,0,"north"
2009,9,12,5.047,0,"north"
2009,9,13,5.103,0,"north"
2009,9,14,5.198,0,"north"
2009,9,15,5.213,0,"north"
2009,9,16,5.175,0,"north"
2009,9,17,5.196,0,"north"
2009,9,18,5.211,0,"north"
2009,9,19,5.195,0,"north"
2009,9,20,5.24,0,"north"
2009,9,21,5.276,0,"north"
2009,9,22,5.341,0,"north"
2009,9,23,5.349,0,"north"
2009,9,24,5.32,0,"north"
2009,9,25,5.377,0,"north"
2009,9,26,5.383,0,"north"
2009,9,27,5.444,0,"north"
2009,9,28,5.456,0,"north"
2009,9,29,5.473,0,"north"
2009,9,30,5.549,0,"north"
2009,10,1,5.682,0,"north"
2009,10,2,5.774,0,"north"
2009,10,3,5.769,0,"north"
2009,10,4,5.798,0,"north"
2009,10,5,5.852,0,"north"
2009,10,6,5.846,0,"north"
2009,10,7,5.878,0,"north"
2009,10,8,5.915,0,"north"
2009,10,9,5.962,0,"north"
2009,10,10,6.219,0,"north"
2009,10,11,6.432,0,"north"
2009,10,12,6.526,0,"north"
2009,10,13,6.522,0,"north"
2009,10,14,6.665,0,"north"
2009,10,15,6.838,0,"north"
2009,10,16,6.856,0,"north"
2009,10,17,6.942,0,"north"
2009,10,18,7.073,0,"north"
2009,10,19,7.196,0,"north"
2009,10,20,7.307,0,"north"
2009,10,21,7.385,0,"north"
2009,10,22,7.529,0,"north"
2009,10,23,7.608,0,"north"
2009,10,24,7.665,0,"north"
2009,10,25,7.646,0,"north"
2009,10,26,7.822,0,"north"
2009,10,27,8.02,0,"north"
2009,10,28,8.189,0,"north"
2009,10,29,8.386,0,"north"
2009,10,30,8.543,0,"north"
2009,10,31,8.685,0,"north"
2009,11,1,8.723,0,"north"
2009,11,2,8.758,0,"north"
2009,11,3,8.807,0,"north"
2009,11,4,8.824,0,"north"
2009,11,5,8.882,0,"north"
2009,11,6,9.012,0,"north"
2009,11,7,9.086,0,"north"
2009,11,8,9.07,0,"north"
2009,11,9,9.187,0,"north"
2009,11,10,9.249,0,"north"
2009,11,11,9.318,0,"north"
2009,11,12,9.283,0,"north"
2009,11,13,9.324,0,"north"
2009,11,14,9.465,0,"north"
2009,11,15,9.714,0,"north"
2009,11,16,9.835,0,"north"
2009,11,17,9.919,0,"north"
2009,11,18,10.001,0,"north"
2009,11,19,10.09,0,"north"
2009,11,20,10.141,0,"north"
2009,11,21,10.207,0,"north"
2009,11,22,10.332,0,"north"
2009,11,23,10.465,0,"north"
2009,11,24,10.575,0,"north"
2009,11,25,10.66,0,"north"
2009,11,26,10.774,0,"north"
2009,11,27,10.804,0,"north"
2009,11,28,10.858,0,"north"
2009,11,29,10.86,0,"north"
2009,11,30,10.929,0,"north"
2009,12,1,11.13,0,"north"
2009,12,2,11.256,0,"north"
2009,12,3,11.318,0,"north"
2009,12,4,11.416,0,"north"
2009,12,5,11.631,0,"north"
2009,12,6,11.529,0,"north"
2009,12,7,11.585,0,"north"
2009,12,8,11.56,0,"north"
2009,12,9,11.592,0,"north"
2009,12,10,11.681,0,"north"
2009,12,11,11.695,0,"north"
2009,12,12,11.842,0,"north"
2009,12,13,11.957,0,"north"
2009,12,14,12.121,0,"north"
2009,12,15,12.215,0,"north"
2009,12,16,12.344,0,"north"
2009,12,17,12.433,0,"north"
2009,12,18,12.504,0,"north"
2009,12,19,12.488,0,"north"
2009,12,20,12.527,0,"north"
2009,12,21,12.617,0,"north"
2009,12,22,12.64,0,"north"
2009,12,23,12.639,0,"north"
2009,12,24,12.688,0,"north"
2009,12,25,12.744,0,"north"
2009,12,26,12.87,0,"north"
2009,12,27,12.868,0,"north"
2009,12,28,13.024,0,"north"
2009,12,29,13.103,0,"north"
2009,12,30,13.118,0,"north"
2009,12,31,13.061,0,"north"
2009,1,1,8.007,0,"south"
2009,1,2,7.772,0,"south"
2009,1,3,7.585,0,"south"
2009,1,4,7.385,0,"south"
2009,1,5,7.251,0,"south"
2009,1,6,7.14,0,"south"
2009,1,7,7.013,0,"south"
2009,1,8,6.876,0,"south"
2009,1,9,6.645,0,"south"
2009,1,10,6.558,0,"south"
2009,1,11,6.451,0,"south"
2009,1,12,6.328,0,"south"
2009,1,13,6.191,0,"south"
2009,1,14,6.131,0,"south"
2009,1,15,5.891,0,"south"
2009,1,16,5.76,0,"south"
2009,1,17,5.533,0,"south"
2009,1,18,5.355,0,"south"
2009,1,19,5.202,0,"south"
2009,1,20,5.104,0,"south"
2009,1,21,4.947,0,"south"
2009,1,22,4.757,0,"south"
2009,1,23,4.562,0,"south"
2009,1,24,4.437,0,"south"
2009,1,25,4.3,0,"south"
2009,1,26,4.219,0,"south"
2009,1,27,4.092,0,"south"
2009,1,28,3.966,0,"south"
2009,1,29,3.906,0,"south"
2009,1,30,3.784,0,"south"
2009,1,31,3.78,0,"south"
2009,2,1,3.623,0,"south"
2009,2,2,3.549,0,"south"
2009,2,3,3.442,0,"south"
2009,2,4,3.411,0,"south"
2009,2,5,3.295,0,"south"
2009,2,6,3.18,0,"south"
2009,2,7,3.166,0,"south"
2009,2,8,3.147,0,"south"
2009,2,9,3.145,0,"south"
2009,2,10,3.047,0,"south"
2009,2,11,2.98,0,"south"
2009,2,12,2.939,0,"south"
2009,2,13,2.921,0,"south"
2009,2,14,2.858,0,"south"
2009,2,15,2.794,0,"south"
2009,2,16,2.799,0,"south"
2009,2,17,2.788,0,"south"
2009,2,18,2.78,0,"south"
2009,2,19,2.76,0,"south"
2009,2,20,2.741,0,"south"
2009,2,21,2.677,0,"south"
2009,2,22,2.671,0,"south"
2009,2,23,2.73,0,"south"
2009,2,24,2.706,0,"south"
2009,2,25,2.81,0,"south"
2009,2,26,2.837,0,"south"
2009,2,27,2.925,0,"south"
2009,2,28,3.015,0,"south"
2009,3,1,3.09,0,"south"
2009,3,2,3.254,0,"south"
